year,dominant_subfield,subfield_label,patents
2014,speech,Speech Recognition,3892
2014,vision,Computer Vision,26117
2015,evo,Evolutionary Computation,2529
2015,hardware,AI Hardware,21532
2015,kr,Knowledge Representation,9555
2015,ml,Machine Learning,2554
2015,nlp,Natural Language Processing,12154
2015,planning,Planning & Reasoning,30066
2015,speech,Speech Recognition,3922
2015,vision,Computer Vision,27371
2016,evo,Evolutionary Computation,2534
2016,hardware,AI Hardware,22649
2016,kr,Knowledge Representation,9926
2016,ml,Machine Learning,2932
2016,nlp,Natural Language Processing,12516
2016,planning,Planning & Reasoning,31542
2016,speech,Speech Recognition,4142
2016,vision,Computer Vision,28085
2017,evo,Evolutionary Computation,2592
2017,hardware,AI Hardware,23337
2017,kr,Knowledge Representation,10200
2017,ml,Machine Learning,3284
2017,nlp,Natural Language Processing,12503
2017,planning,Planning & Reasoning,34144
2017,speech,Speech Recognition,4297
2017,vision,Computer Vision,29467
1976,evo,Evolutionary Computation,9
1976,hardware,AI Hardware,288
1976,kr,Knowledge Representation,22
1976,ml,Machine Learning,14
1976,nlp,Natural Language Processing,60
1976,planning,Planning & Reasoning,242
1976,speech,Speech Recognition,52
1976,vision,Computer Vision,236
1977,evo,Evolutionary Computation,7
1977,hardware,AI Hardware,264
1977,kr,Knowledge Representation,16
1977,ml,Machine Learning,17
1977,nlp,Natural Language Processing,50
1977,planning,Planning & Reasoning,259
1977,speech,Speech Recognition,84
1977,vision,Computer Vision,204
1978,evo,Evolutionary Computation,13
1978,hardware,AI Hardware,264
1978,kr,Knowledge Representation,20
1978,ml,Machine Learning,10
1978,nlp,Natural Language Processing,47
1978,planning,Planning & Reasoning,229
1978,speech,Speech Recognition,75
1978,vision,Computer Vision,219
1979,evo,Evolutionary Computation,5
1979,hardware,AI Hardware,226
1979,kr,Knowledge Representation,14
1979,ml,Machine Learning,7
1979,nlp,Natural Language Processing,35
1979,planning,Planning & Reasoning,199
1979,speech,Speech Recognition,53
1979,vision,Computer Vision,192
1980,evo,Evolutionary Computation,11
1980,hardware,AI Hardware,236
1980,kr,Knowledge Representation,16
1980,ml,Machine Learning,9
1980,nlp,Natural Language Processing,54
1980,planning,Planning & Reasoning,256
1980,speech,Speech Recognition,72
1980,vision,Computer Vision,260
1981,planning,Planning & Reasoning,289
1981,evo,Evolutionary Computation,12
1981,hardware,AI Hardware,242
1981,kr,Knowledge Representation,15
1981,ml,Machine Learning,12
1981,nlp,Natural Language Processing,48
1981,speech,Speech Recognition,70
