year,subfield,subfield_label,patents_50,patents_86,patents_93,avg_score
2005,evo,Evolutionary Computation,3596,1588,1387,0.012941842860486889
2005,kr,Knowledge Representation,13682,8084,7409,0.03595234041657286
2005,hardware,AI Hardware,24238,15136,13947,0.06202606245642712
2006,ml,Machine Learning,7420,4779,4452,0.01884933665811835
2006,nlp,Natural Language Processing,10394,7662,7292,0.02965160345751251
2006,vision,Computer Vision,19667,14239,13518,0.04735788398462917
2006,speech,Speech Recognition,4537,3671,3557,0.010999531270873516
2006,planning,Planning & Reasoning,26937,18685,17560,0.06196719112072733
2006,evo,Evolutionary Computation,4202,1825,1589,0.013944963795720284
2006,kr,Knowledge Representation,16364,9605,8790,0.03978382767515479
2006,hardware,AI Hardware,28602,17916,16479,0.06728000603068411
2007,ml,Machine Learning,7906,5229,4906,0.02044337219922592
2007,nlp,Natural Language Processing,11546,8621,8242,0.032752338816702975
2007,vision,Computer Vision,19961,14271,13589,0.04886596163290655
2007,speech,Speech Recognition,4758,3847,3721,0.011781927663384324
2007,planning,Planning & Reasoning,28142,19856,18671,0.06622904426514245
2007,evo,Evolutionary Computation,4478,1981,1736,0.014894189621118856
2007,kr,Knowledge Representation,18107,11033,10081,0.044644143890391855
2007,hardware,AI Hardware,28791,18112,16632,0.06942433086291493
2008,ml,Machine Learning,9426,6245,5852,0.022960009669843816
2008,nlp,Natural Language Processing,13297,9808,9370,0.035456265376515556
2008,vision,Computer Vision,22210,16244,15417,0.05205320811949568
2008,speech,Speech Recognition,5052,4076,3941,0.011976161775734124
2008,planning,Planning & Reasoning,32381,23147,21883,0.07246495004191716
2008,evo,Evolutionary Computation,5232,2423,2127,0.016310605584754147
2008,kr,Knowledge Representation,21509,13203,12074,0.050282158569714415
2008,hardware,AI Hardware,33133,20866,19157,0.0757333894875761
2009,ml,Machine Learning,10086,6613,6152,0.023534522118644513
2009,nlp,Natural Language Processing,14100,10512,10037,0.03595996317447789
2009,vision,Computer Vision,23800,17260,16495,0.05340940744180992
2009,speech,Speech Recognition,5005,3980,3848,0.011506025676151329
2009,planning,Planning & Reasoning,34276,24550,23219,0.07404931436580266
2009,evo,Evolutionary Computation,5787,2650,2319,0.017240692042447804
2009,kr,Knowledge Representation,23214,14309,13171,0.052105430762491516
2009,hardware,AI Hardware,34735,22225,20371,0.07668994287906436
2010,ml,Machine Learning,11128,7360,6876,0.023227099753823803
2010,nlp,Natural Language Processing,14957,11068,10544,0.034529485564845086
2010,vision,Computer Vision,26901,19545,18645,0.053867227393847805
2010,speech,Speech Recognition,5232,4141,3986,0.010801704354235667
2010,planning,Planning & Reasoning,38227,27039,25548,0.07378153307758901
2010,evo,Evolutionary Computation,6621,3100,2703,0.017508163317301876
2010,kr,Knowledge Representation,25830,15804,14440,0.051840840900839666
2010,hardware,AI Hardware,38034,23923,21975,0.07532200124046283
2011,ml,Machine Learning,11645,7802,7356,0.024448737880769247
2011,nlp,Natural Language Processing,15547,11634,11152,0.036140549226247425
2011,vision,Computer Vision,27209,19996,19063,0.055140913072229875
2011,speech,Speech Recognition,5417,4325,4159,0.011308847105986326
2011,planning,Planning & Reasoning,39147,27926,26329,0.07666005142879205
2011,evo,Evolutionary Computation,7025,3256,2871,0.018626744131271966
2011,kr,Knowledge Representation,26335,16016,14690,0.05362377899210673
2011,hardware,AI Hardware,38547,24382,22434,0.07723952693487907
2012,ml,Machine Learning,13787,9271,8661,0.02683991134415804
2012,nlp,Natural Language Processing,18732,13990,13377,0.039758406626429446
2012,vision,Computer Vision,32975,24583,23406,0.06196905876592471
2012,speech,Speech Recognition,6578,5259,5056,0.01268341620949548
2012,planning,Planning & Reasoning,46131,33135,31218,0.084027949321142
2012,evo,Evolutionary Computation,8547,3936,3458,0.02063425871420376
2012,kr,Knowledge Representation,32000,19698,17999,0.06046540300362966
2012,hardware,AI Hardware,44954,28373,26040,0.08352934474334082
2013,ml,Machine Learning,15937,10663,9957,0.028943716167436538
2013,nlp,Natural Language Processing,21544,16078,15344,0.042337822929288345
2013,vision,Computer Vision,36460,27026,25861,0.06394281741289173
2013,speech,Speech Recognition,7419,5892,5684,0.013377821381786621
2013,planning,Planning & Reasoning,53649,38974,36904,0.09103472481361016
2013,evo,Evolutionary Computation,10098,4849,4288,0.02249107914994909
2013,kr,Knowledge Representation,37509,22982,21060,0.06609024799812849
2013,hardware,AI Hardware,51215,32478,29843,0.08878763165898512
2014,ml,Machine Learning,18268,12305,11509,0.030468537737967854
2014,nlp,Natural Language Processing,25188,18887,18064,0.04507829328582898
2014,vision,Computer Vision,40286,29869,28462,0.0651420084480731
2014,speech,Speech Recognition,8562,6804,6585,0.014172011160438267
2014,planning,Planning & Reasoning,62754,45769,43348,0.09762796244463973
2014,evo,Evolutionary Computation,11593,5375,4707,0.023615002397590245
2014,kr,Knowledge Representation,44740,27685,25473,0.07210822346182406
2014,hardware,AI Hardware,59814,37925,34810,0.09497970575859609
2015,ml,Machine Learning,18096,12346,11598,0.02992936134965481
2015,nlp,Natural Language Processing,24722,18731,17853,0.04431033686970241
2015,vision,Computer Vision,42251,31431,30005,0.06776757629502501
2015,speech,Speech Recognition,8627,6860,6635,0.014234298334503896
2015,planning,Planning & Reasoning,60506,43571,41151,0.094625278440556
2015,evo,Evolutionary Computation,11606,5413,4709,0.02368935787981752
2015,kr,Knowledge Representation,43444,26764,24514,0.07026978374168498
2015,hardware,AI Hardware,59286,37419,34389,0.09376948945223697
2016,ml,Machine Learning,19407,13499,12720,0.03168571763420696
2016,nlp,Natural Language Processing,25707,19601,18763,0.04554454254178865
2016,vision,Computer Vision,43743,32427,31046,0.06970392155181562
2016,speech,Speech Recognition,9301,7402,7152,0.015116779678558403
2016,planning,Planning & Reasoning,64067,46247,43707,0.09919205535353584
2016,evo,Evolutionary Computation,12036,5616,4930,0.024362869065486785
2016,kr,Knowledge Representation,45773,28350,26004,0.07344738283468155
2016,hardware,AI Hardware,62796,40288,37066,0.09864616984846555
2017,ml,Machine Learning,21089,14918,14046,0.033810933656608484
2017,nlp,Natural Language Processing,26013,19659,18847,0.04565804839406726
